	牌相	圖相	牌義	解牌-工作	解牌-感情
  星星牌	正向	在閃耀的星星下，倒水的婦人	平靜：黑暗後的寧靜	工作：不再艱困的工作環境，願望將實作	感情：自由，愛，喜樂的闗係
  星星牌	負向		沒有能量，失去目標		
  月亮牌	負向	俯看狂吠狗群與蝎子的皺眉月亮	黑暗：面對你的黑暗面	工作：暫緩行動，面對你的挑戰與黑暗	感情：面對你的黑暗面
  月亮牌	負向		未解決之事又落入身上		
  太陽牌	極正向	太陽下，快樂騎馬的小孩	陽光：做什麼事都有正向的結果	工作：充滿愉悅，會得到驚人的成果	感情：美麗的戀情
  太陽牌	正向		在競爭中成長		
  審判牌	中性	大天使吹著號角，喚醒人們行動	喚醒：內在的省思與澄清	工作：你能明確判斷你的工作，找到更適合你的工作	感情：認清你的闗係
  審判牌	中性		需要接受內心的呼喚		
  審判牌	正向	在花環中的女子	圓滿：階段性的完成	工作：工作上的圓滿	感情：長期的穩定與喜樂
  審判牌	中性		旅行，短暫的成功		
  聖杯-國王牌	中性	坐在海上，雙手拿著聖杯，表情詳和的國王	藝術：深情的	精神層面	工作：藝術性，靈性，創造性
  聖杯-國王牌	負向		需要諒解與釋懷		
  聖杯-皇后牌	中性	端坐拿著聖杯，腳在水中的皇后	女性，直覺，藝術，創造，敏造，熱情	工作：創造，直覺，熱情	感情：有同情心的，敏感，直覺的伴侶
  聖杯-皇后牌	負向		原諒自己，忘記過去		
  聖杯-騎士牌	中性	拿著聖杯騎馬的騎士	做夢的，感性的，向前的，不衝動的	工作：會有帶來啟發的專案	感情：打開心房的戀情
  聖杯-騎士牌	負向		拒絕承諾，對情感的失望		
  聖杯-伺從牌	中性	拿著聖杯，裡面有條魚的侍者-魚代表智慧	做夢，藝術，感性，直覺	工作：正向的，打開你的心房	感情：愛情即將來臨
  聖杯-伺從牌	負向		對夥伴的失望，日思夜夢造成困擾		
  聖杯-1	正向	新的開始	心將會打開	工作：新的職涯 – 和心相關	感情：建議打開你的心房
  聖杯-1	負向		情感和心靈的空虛		
  聖杯-2	正向	結合，平衡		工作：職涯面是合夥關係，共獲其利	感情：闗係面是戀情或友情的連結
  聖杯-2	負向		衝突，鬥爭		
  聖杯-3	正向	三人舉杯慶祝	有值得慶祝的理由，有好消息將前來	工作：專案即將成功	感情：歡樂的
  聖杯-3	負向		彼此競爭		
  聖杯-4	負向	焦燥的，忽視眼前的美好，遲滯的		工作：專案遲滯不前	感情：對現狀不滿
  聖杯-4	中性		不要花時間沈思，而需積極尋求新機會		
  聖杯-5	負向	哀悼眼前倒下的3聖杯	哀悼	工作：失去工作機會，或者財務的損失或背叛	感情：代表戀情的失去或沒放下
  聖杯-5	正向		放開過去，到達穩定狀態		
  聖杯-6	正向	重聚，故人		工作：滿足於現況，但不表示有大成長	感情：現在還不錯，但不表示有大轉變
  聖杯-6	中性		離開舒適圈，迎接挑戰		
  聖杯-7	中性	多種選擇，從心去選擇		工作：從心選擇，避免受他人壓力或衝動性選擇	感情：要從心選擇
  聖杯-7	中性		將夢想化為實際		
  聖杯-8	正向	離開去尋找答案		工作：可能離開現有環境	感情：需要有新的視野
  聖杯-8	負向		暗示你拒絕離開某狀態，需要沈靜下來		
  聖杯-9	極正向	幸運，得到讚賞		工作：得到成就，獲得新工作	感情：得到想要的結果
  聖杯-9	負向		意味你追逐世俗的歡樂		
  聖杯-10	極正向	歡樂的家庭		工作：歡樂的環境	感情：戀情會走向婚姻，家庭
  聖杯-10	負向		離群索居，相互競爭，一盤散沙		
  錢幣-國王牌	中性	坐在王位，拿著金幣的國王	商業/財務智慧	工作：建立財務的穩定性	感情：對財務可信賴的另一半
  錢幣-國王牌	負向		不誠實，成功短暫		
  錢幣-皇后牌	中性	坐在花園后位，拿著金幣的皇后	注意財務安全，能從工作獲取價值	工作：精通財務和工作	感情：長期承諾，支持另一半事業
  錢幣-皇后牌	負向		對自己失去信心		
  錢幣-騎士牌	中性	拿著金幣，騎馬向前的騎士	建立事業是他們的任務，可以順利前行	工作：從某人提供的機會，職涯平穩向前	感情：對方會建立財務穩定的家庭
  錢幣-騎士牌	負向		對事物懶散		
  錢幣-伺從牌	中性	拿著金幣，站在山上的侍者	喜歡戶外，具企業家特質	工作：會有好機會，增加你銀行財富的機會	感情：新階段的來臨
  錢幣-伺從牌	負向		缺乏承諾，目標易變		
  錢幣-1	正向	新的專案		工作：一個新專案帶來你的財富	感情：先專注於帶來財富的專案
  錢幣-1	負向		金錢，機會流逝		
  錢幣-2	中性	抉擇-在財務方面有2條路待選擇		工作：面對2個工作需要選擇	感情：會遇到和財務相關的選擇
  錢幣-2	中性		在兩難中選擇		
  錢幣-3	正向	辛苦工作將得到回報		工作：辛苦工作得到獎賞或昇遷	感情：學習如何維持穩定關係
  錢幣-3	中性		未獲得教訓，學習尚未完成		
  錢幣-4	正向	緊抱金幣	穩固的財務，過份死守金錢	工作：財務穩健	感情：財務穩固的感情
  錢幣-4	負向		正在花錢中		
  錢幣-5	負向	無家可歸的人		工作：遭遇挫折與失敗，可能處於失業狀態	感情：分手或關係破裂
  錢幣-5	正向		思想開放，改變來臨		
  錢幣-6	正向	財務邁向穩定		工作：有份收入穩定的工作	感情：感情將走向穩定
  錢幣-6	負向		穩定狀態結束，財務失控		
  錢幣-7	正向	堅守現有的工作並存錢		工作：堅守現有工作，不要辭職	感情： 制定財富長期目標
  錢幣-7	負向		停住不前		
  錢幣-8	正向	專注於修復金幣		工作：運用專業能力，獲取報酬	感情：家庭財務穩固
  錢幣-8	負向		缺乏承諾，工作苦悶		
  錢幣-9	極正向	享受努力得來的金錢		工作：享受努力得來的金錢	感情：財務穩固，足以生育養育小孩
  錢幣-9	負向		缺乏自律，工時過長		
  錢幣-10	極正向	享受落下的金錢		工作：獲得豐富財富，得到讚賞	感情：建立物質豐富的家庭
  錢幣-10	負向		缺乏基礎，財務問題		
  寶劍-國王牌	中性	坐在王位，緊拿寶劍的國王	智慧，精明，學院派，分析規劃	工作：規劃分析型，不是風險愛好者，學院派	感情：需要和自己具相同智慧的人
  寶劍-國王牌	負性		思緒不清，追尋自我利益		
  寶劍-皇后牌	中性	端坐后位，拿著寶劍，手腕綁著線的皇后	智慧，理智，邏輯性	工作：使用智慧，評估情勢	感情：智慧的另一半
  寶劍-皇后牌	負向		負面想法，胰臟疾病		
  寶劍-騎士牌	中性	揮著寶劍騎馬的騎士	思想轉換，動態，高能源	工作：想法一直在轉換	感情：可能衝太快，所以不會有承諾
  寶劍-騎士牌	負向		做著不會成功的事		
  寶劍-伺從牌	中性	拿著寶劍，站在山頂的侍者	充滿想法，腦筋動得快	工作：會有好點子-寫下來，規劃	感情：遠離童話小說-平衡吸引力法則和實際行動
  寶劍-伺從牌	中性		根基未穩，停止做夢，立刻行動		
  寶劍-1	正向	新的想法		工作：新想法會帶你走向成功	感情：針對你想要的，會更清楚
  寶劍-1	負向		暗示想法或計畫行不通，或缺乏明確目標		
  寶劍-2	中性	抉擇-對眼前的選擇，帶著恐懼，難以決定		工作：面對重大決定	感情：先退回想想
  寶劍-2	負向		情緒混亂，選擇太多		
  寶劍-3	負向	三劍穿心	將面對分離與哀傷	工作：將面對難過與失望	感情：將面臨失望
  寶劍-3	負向		被痛苦壓抑		
  寶劍-4	負向	三劍指向	體力透支，需要休息	工作：煩惱太多，壓力太大	感情：給你自己一點時間沈思
  寶劍-4	正向		從痛苦中復原		
  寶劍-5	負向	不光榮的勝利		工作：充滿敵意的環境	感情：彼此算計的戀情
  寶劍-5	正向		從不協調中省思溝通		
  寶劍-6	正向	從混亂中航向平靜		工作：將由混亂轉平靜	感情：將會由黑暗走向光明
  寶劍-6	負向		為了解決問題而產生新問題		
  寶劍-7	中性	小心周圍		工作：可能會遇到不老實的上司/同件/顧客，小心不要立刻相信別人	感情：小心第三者造成的干擾，或單身者小心不誠實的另一半
  寶劍-7	負向		使用了過時的方法，暗示自我欺騙		
  寶劍-8	中性	矇著眼睛，被劍陣圍住		工作：陷在困境	感情：感覺無法往前走，被困住
  寶劍-8	正向		看清事物，最壞狀況已過去		
  寶劍-9	負向	批判自己，負面情緒		工作：給自己太大壓力，好好睡一覺	感情：過份擔心一段戀情，好好睡一覺，看夢中給你什麼啟示
  寶劍-9	正向		面對恐懼，惡夢將過		
  寶劍-10	中性	跌到谷底，黎明即將到來		工作：已經精力竭盡，等待黎明到來	感情：已經精力竭盡，等待黎明到來
  寶劍-10	正向		走到谷底，重新出發		
  權杖-國王牌	中性	正坐拿著長出葉子的權杖，眼神堅定的國王	樂於行動，挑戰，正直，堅毅地向前	工作：可透過自律而成功	感情：有能力，熱情，行動派的另一半
  權杖-國王牌	負向		缺乏自律，能量偏低		
  權杖-皇后牌	中性	端坐拿著向日葵的皇后	樂於行動，而非只是夢想規劃	工作：可透過內在的力量而成功	感情：動態的，有熱情，不無聊的另一半
  權杖-皇后牌	負向		陷入恐懼，失去力量		
  權杖-騎士牌	中性	拿著權杖騎馬的騎士	有野心，喜歡追求挑戰-改變，旅行和行動	工作：表示將旅行或換了新工作	感情：喜歡挑戰的另一半
  權杖-騎士牌	負向		延遲，計畫中斷和不協調		
  權杖-伺從牌	中性	看著萌發新芽，背後是金字塔的侍者	火相，浮燥，有活力，戶外	工作：適合展開新方案	感情：新階段，可能有挑戰，但是正向，會擴展你的視野
  權杖-伺從牌	負向		花太多時間規畫而未行動		
  權杖-1	正向	充滿能量，熱情，行動力的牌	強而有力的開始， 實際行動， 旅行與移動	工作：一個新計畫強而有力的開始	感情：有新的感情應該接受 現在的感情會有大幅度的進展
  權杖-1	負向		先解決舊問題才能實現新計畫		
  權杖-2	正向	抉擇	正在決定中	工作：正在決定是否換工作或行業	感情：如果還沒決定，聽從你的直覺去選擇
  權杖-2	負向		停止選擇，直接跳入新環境，即使不做，生命也會迫使你去做		
  權杖-3	正向	果實即將結成，船即將來		工作：計畫或旅行付諸執行	感情：將會進展
  權杖-3	負向		思考你的選擇是否正確，或因你的選擇而感到挫折		
  權杖-4	正向	慶祝		工作：在目前的工作安定下來	感情：正在穩固你的兩性闗係，即將迎來滿足和歡樂
  權杖-4	負向		不具有安定性，現在可能在做暫時性的工作	工作：不具有安定性，現在可能在做暫時性的工作	感情：兩性闗係沒有進展
  權杖-5	負向	一群狗打架	改變和不穩定	工作：團隊中充滿衝突；浪費過多的精力在太多方面	感情：兩人想法不同，充滿衝突
  權杖-5	正向		準備妥協或協取新方法		
  權杖-6	正向	勝利成功向前		工作：工作的升遷；達成目標；自信的生活態度	感情：將會順利進展
  權杖-6	負向		所追求的事物很少成功，或成功為時極短		
  權杖-7	中性	堅守陣地		工作：適合開拓新的機會	感情：將會遇到挑戰，相信自己，不要放棄
  權杖-7	負向		可能遭遇反對，暗示不要堅持		
  權杖-8	正向	抵達目的地		工作：表示你是自由的，可以投注熱情，直接追求目標	感情：將會順利進展
  權杖-8	負向		象徵延誤；只有熱情，計畫不能實現		
  權杖-9	負向	精力耗盡，困難重重		工作：你必須拋棄不完全的計畫	感情：不要執著於失敗，適度放鬆，面對挑戰
  權杖-9	負向		深受恐懼折磨；暗示放棄爭鬥，改變方法		
  權杖-10	中性	負擔		工作：必須自己做，才會成功	感情：尋求外援，不要都攬在自己身上
  權杖-10	中性		忙於事業而忽略了情感；需要分派責任給別人		
